id,address,latitude,longitude
236,"302 Spadina Ave, Suite 206 Toronto, ON M5T 2E7",43.6533772,-79.3985109
237,"2610 Birchmount Rd Toronto, ON M1W 2P5",43.7907543,-79.3029814
238,"11 River St Toronto, ON M5A 4C2",43.6577218,-79.3563116
239,"Sherman Campus 4600 Bathurst St Toronto, ON M2R 3V2",43.7641501,-79.4419406
240,"74 Firvalley Court Toronto, ON M1L 1N9",43.7039524,-79.2781234
241,"2065 Finch Ave W, Suite 106 Toronto, ON M3N 2V7",43.7557468,-79.5232764
243,"Markington Square Plaza 3227 Eglinton Ave E, Unit 135 Toronto, ON M1J 3M5",43.7436237,-79.2147017
244,"6075 Yonge St, 4th Fl Toronto, ON M2M 3W2",43.7907476,-79.4177544
245,"3363 Bloor St W Toronto, ON M8X 1G2",43.6446164,-79.5225146
246,"1860 Wilson Ave, Suite 400 Toronto, ON M9M 3A7",43.7178923,-79.5235853
247,"The Salvation Army York Community Church 1100 Weston Rd Toronto, ON M6N 3S4",43.685872,-79.487734
248,"1385 Huntingwood Dr Toronto, ON M1S 3J1",43.7978093,-79.2642718
249,"Birchcliff Bluffs United Church 33 East Rd Toronto, ON M1N 1Z9",43.6881041,-79.2714568
250,"2445 Bloor St W Toronto, ON M6S 1P7",43.6490657,-79.4842302
251,"3033 Lake Shore Blvd W Toronto, ON M8V 1K5",43.5997978,-79.5090728
252,"Head Office 26 Wellington St E, 12th Fl Toronto, ON M5E 1S2",43.6486362,-79.3817439
253,"University Settlement - Grange Road 23 Grange Rd Toronto, ON M5T 1C3",43.6521108,-79.3915169
254,"1102 Broadview Ave Toronto, ON M4K 2S5",43.6866387,-79.3565881
255,"1364 Dundas St W Toronto, ON M6J 1Y2",43.6496225,-79.4278144
256,"3585 Keele St, Unit 13 Toronto, ON M3J 3H5",43.7507138,-79.4869983
257,"25 Cecil St, Unit 310 Toronto, ON M5T 1N1",43.6565676,-79.3959592
258,"721 Bloor St W, Suite 202 Toronto, ON M6G 1L5",43.6634297,-79.4180565
259,"197 Euclid Ave Toronto, ON M6J 2J8",43.6511382,-79.4093153
260,"313 Pharmacy Ave Toronto, ON M1L 3E7",43.7012714,-79.2846653
261,"23 Lesmill Rd, Suite 106 Toronto, ON M3B 3P6",43.7566573,-79.3520961
262,"180 McLevin Ave Toronto, ON M1B 6H7",43.8046849,-79.2314188
263,"602 Queen St W, 2nd Fl Toronto, ON M6J 1E3",43.6472989,-79.4047051
264,"815 Danforth Ave, 4th Flr Toronto, ON M4J 1L2",43.6795502,-79.3407742
265,"533A Gladstone Ave Toronto, ON M6H 3J1",43.6599102,-79.4335693
266,"Administrative office 2200 Yonge St, Suite 300 Toronto, ON M4S 2C6",43.7060951,-79.3985366
267,"Administrative Office 306 Gerrard St E Toronto, ON M5A 2G7",43.6624719,-79.3664221
268,"1651 Keele St Toronto, ON M6M 3W2",43.6835013,-79.471837
269,"1901 Weston Rd Toronto, ON M9N 3P5",43.7005399,-79.5161679
270,"45 Overlea Blvd, Unit 108 Toronto, ON M4H 1C3",43.7057953,-79.3460276
271,"87 Elm St Toronto, ON M5G 0A8",43.6567086,-79.386173
272,"2213 Dufferin St Toronto, ON M6E 3S2",43.6912192,-79.4480177
273,"815 Danforth Ave, Suite 202 Toronto, ON M4J 1L2",43.6795502,-79.3407742
274,"101 Spruce St Toronto, ON M5A 2J3",43.664161,-79.3622638
275,"1652 Keele St, Suite 104 Toronto, ON M6M 3W3",43.6838973,-79.4728933
276,"Masaryk-Cowan Community Centre 220 Cowan Ave Toronto, ON M6K 2N6",43.6406648,-79.4332086
277,"200 Consumers Rd, Unit 510 Toronto, ON M2J 4R4",43.7728537,-79.3311529
278,"750 Spadina Ave Toronto, ON M5S 2J2",43.6664195,-79.4039092
279,"110 Mornelle Court, Buzz code 248 Toronto, ON M1E 4R1",43.786479,-79.1943974
280,"789 Don Mills Rd, Suite 1010 Toronto, ON M3C 1T5",43.7185438,-79.3374904
281,"2794 Lake Shore Blvd W Toronto, ON M8V 1H5",43.6020048,-79.50035
283,"260 Augusta Ave Toronto, ON M5T 2L9",43.6564262,-79.4031718
285,"20 Grosvenor St Toronto, ON M4Y 2V5",43.663051,-79.3849703
286,"567 Sheppard Ave E Toronto, ON M2K 1B2",43.7655965,-79.3868125
287,"230 Town Centre Court Toronto, ON M1P 4Y7",43.7746225,-79.2543654
288,"931 College St Toronto, ON M6H 1A1",43.6534225,-79.42593
289,"156/156A Galloway Rd Toronto, ON M1E 1X2",43.762214,-79.1950145
290,"2918 Dundas St W Toronto, ON M6P 1Y8",43.6657831,-79.4668069
291,"Yorkwoods Community Church 20 Yorkwoods Gate Toronto, ON M3N 1J8",43.7515011,-79.5141402
292,"4218 Lawrence Ave E, Unit 15 Toronto, ON M1E 4X9",43.7694212,-79.184524
293,"2555 Eglinton Ave E, Suite 212 Toronto, ON M1K 5J1",43.7343941,-79.2572284
294,"Yorkminster Citadel 1 Lord Seaton Rd Toronto, ON M2P 2C1",43.7524335,-79.407165
295,"705 Progress Ave Toronto, ON M1H 2X1",43.7770248,-79.2461722
296,"1911 Finch Ave W, Suite 50A Toronto, ON M3N 2V2",43.7567709,-79.5150848
297,"20 De Boers Dr Toronto, ON M3J 0H1",43.7520036,-79.4653329
298,"Head Office 5987 Bathurst St, Unit 3 Toronto, ON M2R 1Z3",43.7863425,-79.445644
299,"843 Kennedy Rd Toronto, ON M1K 2E3",43.7371807,-79.2695543
300,"Mowat Block 900 Bay St, 24th Fl Toronto, ON M7A 1L2",43.6631958,-79.3872399
301,"469 Pape Ave Toronto, ON M4K 3P9",43.6722661,-79.3418251
302,"1447 King St W Toronto, ON M6K 3K5",43.6366523,-79.4376435
303,"1122 Finch Ave W Toronto, ON M3J 3J5",43.767117,-79.4749179
304,"20 West Lodge Ave Toronto, ON M6K 2T3",43.6419693,-79.4362777
305,"60 Newcastle St Toronto, ON M8Y 1A3",43.6182535,-79.4971911
306,"1527 Victoria Park Ave, 2nd Fl Toronto, ON M1L 2T3",43.7263381,-79.3021905
307,"760 College St, 2nd Fl Toronto, ON M6G 1C4",43.6551861,-79.41977
308,"Sheridan Mall 1700 Wilson Ave, Suite 114, Suite 206 Toronto, ON M3L 1B2",43.7212837,-79.5113665
309,"Sheridan Mall 1700 Wilson Ave, Suite 105 Toronto, ON M3L 1B2",43.7212837,-79.5113665
310,"100 Lippincott St Toronto, ON M5S 2P1",43.6576775,-79.4070466
312,"Thistletown Multi Service Centre 925 Albion Rd, Suite 202 Toronto, ON M9V 1A6",43.735637,-79.563022
313,"3535 Dundas St W Toronto, ON M6S 2S7",43.6654977,-79.4903262
314,"3080 Birchmount Rd Toronto, ON M1W 3K3",43.8034745,-79.3093207
315,"505 Consumers Rd, Suite 102 Toronto, ON M2J 4V8",43.7707116,-79.3241108
316,"2010 Eglinton Ave W, Suite 300 Toronto, ON M6E 2K3",43.6948009,-79.4554338
317,"543 Yonge St, 4th Fl Toronto, ON M4Y 1Y5",43.6643369,-79.3840466
318,"Metamorphosis Tou Sotiros Orthodox Church 40 Donlands Ave Toronto, ON M4J 3N6",43.6813199,-79.3380759
319,"Connell Court 29 Connell Court, Unit 3 Toronto, ON M8Z 5T7",43.6130763,-79.5198574
320,"4580 Dufferin St, 2nd Fl Toronto, ON M3H 5Y2",43.7696449,-79.4676441
321,"2897 Danforth Ave Toronto, ON M4C 1M3",43.6897378,-79.294116
322,"1530 Albion Rd, Unit 83 Toronto, ON M9V 1B4",43.7413645,-79.5850574
323,"10 Milner Business Court, Suite 600 Toronto, ON M1B 3C6",43.7886711,-79.2356873
324,"2140 Kipling Ave, Suite 9 Toronto, ON M9W 4K5",43.7190255,-79.5708359
326,"439 Dundas St E Toronto, ON M5A 2B1",43.659154,-79.3661795
327,"270 Gerrard St E Toronto, ON M5A 2G4",43.6623172,-79.3682912
328,"365 Spadina Ave Toronto, ON M5T 2G3",43.6558052,-79.3987079
329,"80 Sheppard Ave W Toronto, ON M2N 1M2",43.7607902,-79.4148819
330,"77 River St Toronto, ON M5A 3P1",43.6596497,-79.3572038
331,"25 Centre Ave Toronto, ON M2M 2L4",43.7917475,-79.4159683
332,"789 Dovercourt Rd Toronto, ON M6H 2X4",43.6625048,-79.4293785
333,"2152 Kipling Ave Toronto, ON M9W 4K9",43.720012,-79.5714944
334,"Yorkwoods Community Church 20 Yorkwoods Gate SE Toronto, ON M3N 1J8",43.7515011,-79.5141402
335,"2085 Ellesmere Rd Toronto, ON M1H 2W6",43.775729,-79.2329117
336,"5 Thirtieth St Toronto, ON M8W 3B7",43.5954941,-79.5296857
